"Ativo","Data","roic","roe","roa","margem_liquida","margem_ebit","divida_liquida_ebitda","receita_liquida","ebit","deprec","deprec2","deprec3","deprec4","lucro_liquido","ativo_total","passivo_circulante","total_emprestimos_e_financiamentos","caixa_e_equivalentes","aplicacoes_financeiras","patrimonio_liquido","participacao_nao_controladora_acionistas","total_emprestimos_e_financiamentos_lp","capital_investido","ebitda","divida_bruta","divida_liquida"
"WEGE3<XBSP>","3T2006",22.214375193,30.479262848,13.382011966,16.518045385,17.422635554,"-",2822162,491695,"-","-","-","-",466057,3483527,1370368000,869377,"-","-",1528452,1001,453848,1460850,"-",1323225,-198461000
"WEGE3<XBSP>","4T2006",25.017788564,32.377863706,13.439668518,16.716787599,17.573274034,-0.480321579,3009388,528848,105273,105273,"-","-",502831,3743195,1450094000,818568,"-","-",1552724,1032,593353,1395166,634121,1411921,-304582000
"WEGE3<XBSP>","1T2007",23.460378854,30.375402457,13.259978859,16.355234007,18.177130952,"-",3147818,572183,"-","-","-","-",514122,3882608,1401410000,719439,"-","-",1672987,21914,637436,1609696,"-",1356875,-234066000
"WEGE3<XBSP>","2T2007",27.303410078,31.788088333,12.948478893,16.347519407,18.988623571,"-",3341822,634566,"-","-","-","-",545499,4219067,1731571000,816026,"-","-",1694232,24352,606751,1533924,"-",1422777,-346821000
"WEGE3<XBSP>","3T2007",26.256100364,30.46758338,12.918998926,16.091268802,19.391130378,"-",3552846,688937,"-","-","-","-",570326,4425250,1815533000,937546,"-","-",1843405,33009,556060,1731782,"-",1493606,-321875000
"WEGE3<XBSP>","4T2007",28.222884642,31.104336029,11.89178154,15.459046078,18.457917564,-0.52227588897,3749177,692020,156633,156633,"-","-",574984,4873845,2158053000,1077487,"-","-",1829174,34190,654253,1618308,848653,1731740,-443231000
"WEGE3<XBSP>","1T2008",23.693049868,29.549748296,11.940994557,15.099649143,18.843394187,-0.14873731492,3835758,722787,"-",178863,"-","-",571895,4850400,2064733000,1179293,"-","-",1927474,32563,638143,2013415,901650,1817436,-134108999.99
"WEGE3<XBSP>","2T2008",24.338618583,30.304521658,12.3858002,15.009779077,18.19968678,-0.18098074092,4008047,729452,"-",197072,"-","-",590732,4857167,2086036000,1009095,"-","-",1947721,37458,625364,1978084,926524,1634459,-167683000
"WEGE3<XBSP>","3T2008",21.537573327,28.382401955,11.588021713,14.521070459,18.463749237,0.064130372796,4228242,780692,"-",201292,"-","-",600848,5298454,2324331000,1238442,"-","-",2122283,40980,644736,2392362,981984,1883178,62975000
"WEGE3<XBSP>","4T2008",20.160284305,25.817847641,9.9327290485,12.736312263,18.431329257,0.30094404011,4502041,829786,"-",206081,"-","-",560401,5772774,2520871000,1314098,"-","-",2178580,42341,847118,2716523,1035867,2161216,311738000
"WEGE3<XBSP>","1T2009",18.701372792,24.767926396,10.156318067,12.174546714,16.788935264,0.28924878624,4662958,782861,"-",201679,"-","-",556836,5589565,2183152000,1171587,"-","-",2248790,43263,928354,2762836,984540,2099941,284777000
"WEGE3<XBSP>","2T2009",19.418999229,23.216493732,9.9737919536,11.411680611,15.682710446,0.0053347678218,4597088,720948,"-",199242,"-","-",516651,5259835,2047161000,1044633,"-","-",2216162,43460,767273,2450310,920190,1811906,4909000.002
"WEGE3<XBSP>","3T2009",17.691893179,21.962936554,9.6320000654,11.703886025,15.177452051,-0.081144715372,4429281,672252,"-",198008,"-","-",509624,5382039,1814479000,943532,"-","-",2314704,45627,989092,2507851,870260,1932624,-70617000
"WEGE3<XBSP>","4T2009",17.734104775,23.378636986,10.384998381,13.253368862,14.782811082,-0.31109959723,4210620,622448,"-",195888,"-","-",548392,5373607,1825846000,895885,"-","-",2362787,24217,976648,2316529,818336,1872533,-254584000
"WEGE3<XBSP>","1T2010",11.307838855,16.889106284,8.6521850112,13.560703868,15.426206181,-0.21855891327,4094286,631593,"-",192313,"-","-",545844,6417038,1582381000,814274,"-","-",3258721,28688,968192,3686393,823906,1782466,-180072000
"WEGE3<XBSP>","2T2010",11.225476949,15.917847538,7.3762614193,13.285717509,15.593487544,-0.33558833921,4077356,635802,"-",187847,"-","-",532696,7343910,1883425000,741233,"-","-",3322464,80672,1445891,3738187,823649,2187124,-276407000
